Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
27,4,2015-07-30,10270,1065,1,1,0,1
28,4,2015-07-30,6210,635,1,1,0,1
29,4,2015-07-30,8039,661,1,1,0,1
30,4,2015-07-30,4881,682,1,1,0,1
31,4,2015-07-30,6712,582,1,1,0,1
32,4,2015-07-30,5779,617,1,1,0,0
33,4,2015-07-30,8146,740,1,1,0,1
34,4,2015-07-30,8443,992,1,1,0,1
35,4,2015-07-30,11088,727,1,1,0,1
36,4,2015-07-30,11955,1150,1,1,0,0
37,4,2015-07-30,7771,791,1,1,0,1
38,4,2015-07-30,6591,499,1,1,0,1
39,4,2015-07-30,5734,668,1,1,0,1
40,4,2015-07-30,5191,661,1,1,0,1
41,4,2015-07-30,6311,455,1,1,0,0
42,4,2015-07-30,10853,1104,1,1,0,1
43,4,2015-07-30,5982,526,1,1,0,1
44,4,2015-07-30,5159,562,1,1,0,1
45,4,2015-07-30,6063,445,1,1,0,1
46,4,2015-07-30,7057,760,1,1,0,0
47,4,2015-07-30,7585,864,1,1,0,1
48,4,2015-07-30,3297,335,1,1,0,1
49,4,2015-07-30,8996,590,1,1,0,1
50,4,2015-07-30,5324,376,1,1,0,1
51,4,2015-07-30,8280,555,1,1,0,0
52,4,2015-07-30,7024,453,1,1,0,0
53,4,2015-07-30,6797,598,1,1,0,1
54,4,2015-07-30,9905,778,1,1,0,1
55,4,2015-07-30,5610,639,1,1,0,1
56,4,2015-07-30,8705,544,1,1,0,1
57,4,2015-07-30,9820,872,1,1,0,1
58,4,2015-07-30,8433,594,1,1,0,0
59,4,2015-07-30,5556,545,1,1,0,1
60,4,2015-07-30,10213,818,1,1,0,1
61,4,2015-07-30,5868,599,1,1,0,1
62,4,2015-07-30,7181,762,1,1,0,1
63,4,2015-07-30,9316,735,1,1,0,1
64,4,2015-07-30,13029,863,1,1,0,1
65,4,2015-07-30,6652,511,1,1,0,1
66,4,2015-07-30,6937,530,1,1,0,1
67,4,2015-07-30,10875,955,1,1,0,1
68,4,2015-07-30,7780,976,1,1,0,1
69,4,2015-07-30,10252,1230,1,1,0,1
70,4,2015-07-30,8034,678,1,1,0,1
71,4,2015-07-30,10090,761,1,1,0,1
72,4,2015-07-30,5434,541,1,1,0,0
73,4,2015-07-30,4998,492,1,1,0,1
74,4,2015-07-30,6349,839,1,1,0,1
75,4,2015-07-30,7551,711,1,1,0,1
76,4,2015-07-30,10775,1014,1,1,0,0
77,4,2015-07-30,8141,660,1,1,0,1
78,4,2015-07-30,3964,484,1,1,0,1
79,4,2015-07-30,6371,596,1,1,0,1
80,4,2015-07-30,8942,614,1,1,0,1
81,4,2015-07-30,7376,566,1,1,0,0
82,4,2015-07-30,10023,854,1,1,0,1
83,4,2015-07-30,3401,311,1,1,0,1
84,4,2015-07-30,12928,1255,1,1,0,1
85,4,2015-07-30,7187,1000,1,1,0,1
86,4,2015-07-30,4759,574,1,1,0,1
87,4,2015-07-30,6310,748,1,1,0,1
88,4,2015-07-30,7954,683,1,1,0,1
89,4,2015-07-30,6433,683,1,1,0,0
90,4,2015-07-30,8879,1017,1,1,0,1
91,4,2015-07-30,6151,538,1,1,0,1
92,4,2015-07-30,6683,598,1,1,0,1
93,4,2015-07-30,5897,585,1,1,0,1
94,4,2015-07-30,7964,649,1,1,0,1
95,4,2015-07-30,7525,794,1,1,0,1
96,4,2015-07-30,6308,634,1,1,0,1
97,4,2015-07-30,7695,713,1,1,0,1
98,4,2015-07-30,6399,455,1,1,0,1
99,4,2015-07-30,6046,500,1,1,0,0
1,3,2015-07-29,4782,523,1,1,0,1
2,3,2015-07-29,6402,727,1,1,0,1
3,3,2015-07-29,7610,716,1,1,0,1
4,3,2015-07-29,10514,1258,1,1,0,1
5,3,2015-07-29,5899,658,1,1,0,1
6,3,2015-07-29,5275,542,1,1,0,1
7,3,2015-07-29,12074,1166,1,1,0,1
8,3,2015-07-29,7029,698,1,1,0,1
9,3,2015-07-29,7776,625,1,1,0,1
10,3,2015-07-29,5524,518,1,1,0,1
11,3,2015-07-29,8378,1064,1,1,0,1
12,3,2015-07-29,9236,989,1,1,0,1
13,3,2015-07-29,6648,406,1,1,0,0
14,3,2015-07-29,5412,579,1,1,0,1
15,3,2015-07-29,7583,668,1,1,0,1
16,3,2015-07-29,9471,930,1,1,0,0
17,3,2015-07-29,7179,861,1,1,0,1
18,3,2015-07-29,7833,732,1,1,0,1
19,3,2015-07-29,7182,610,1,1,0,1
20,3,2015-07-29,10728,1040,1,1,0,0
21,3,2015-07-29,7337,560,1,1,0,0
22,3,2015-07-29,5551,525,1,1,0,0
23,3,2015-07-29,6319,511,1,1,0,1
24,3,2015-07-29,10362,810,1,1,0,1
25,3,2015-07-29,10527,1254,1,1,0,1
26,3,2015-07-29,7298,556,1,1,0,1
27,3,2015-07-29,10318,1029,1,1,0,1
28,3,2015-07-29,5547,546,1,1,0,1
29,3,2015-07-29,7564,614,1,1,0,1
30,3,2015-07-29,4551,597,1,1,0,1
31,3,2015-07-29,5982,570,1,1,0,1
32,3,2015-07-29,4869,508,1,1,0,0
33,3,2015-07-29,7028,656,1,1,0,1
34,3,2015-07-29,8658,949,1,1,0,1
35,3,2015-07-29,10634,662,1,1,0,1
36,3,2015-07-29,11962,1195,1,1,0,0
37,3,2015-07-29,7442,710,1,1,0,1
38,3,2015-07-29,6595,519,1,1,0,1
39,3,2015-07-29,5617,662,1,1,0,1
40,3,2015-07-29,5004,598,1,1,0,1
41,3,2015-07-29,5673,396,1,1,0,0
42,3,2015-07-29,10932,1096,1,1,0,1
43,3,2015-07-29,6960,590,1,1,0,1
44,3,2015-07-29,5649,609,1,1,0,1
45,3,2015-07-29,5341,387,1,1,0,1
46,3,2015-07-29,6955,716,1,1,0,0
47,3,2015-07-29,8051,997,1,1,0,1
48,3,2015-07-29,3646,362,1,1,0,1
49,3,2015-07-29,9691,609,1,1,0,0
50,3,2015-07-29,4946,379,1,1,0,1
51,3,2015-07-29,7538,501,1,1,0,0
52,3,2015-07-29,7584,472,1,1,0,0
53,3,2015-07-29,6451,572,1,1,0,1
54,3,2015-07-29,9177,720,1,1,0,1
55,3,2015-07-29,5924,629,1,1,0,1
56,3,2015-07-29,9048,540,1,1,0,1
57,3,2015-07-29,10245,907,1,1,0,1
58,3,2015-07-29,8200,572,1,1,0,0
59,3,2015-07-29,5228,491,1,1,0,1
60,3,2015-07-29,11136,914,1,1,0,1
61,3,2015-07-29,6760,657,1,1,0,0
62,3,2015-07-29,6820,719,1,1,0,1
63,3,2015-07-29,8667,674,1,1,0,1
64,3,2015-07-29,11569,759,1,1,0,1
65,3,2015-07-29,5356,423,1,1,0,1
66,3,2015-07-29,7050,520,1,1,0,0
67,3,2015-07-29,10662,930,1,1,0,0
68,3,2015-07-29,8626,1185,1,1,0,1
69,3,2015-07-29,9962,1187,1,1,0,1
70,3,2015-07-29,7258,660,1,1,0,1
71,3,2015-07-29,8806,651,1,1,0,1
72,3,2015-07-29,5366,505,1,1,0,0
73,3,2015-07-29,4605,453,1,1,0,1
74,3,2015-07-29,6804,887,1,1,0,1
75,3,2015-07-29,7476,664,1,1,0,1
76,3,2015-07-29,10030,980,1,1,0,0
77,3,2015-07-29,7865,607,1,1,0,1
78,3,2015-07-29,4125,473,1,1,0,1
79,3,2015-07-29,6674,650,1,1,0,0
80,3,2015-07-29,8388,575,1,1,0,1
81,3,2015-07-29,7589,521,1,1,0,0
82,3,2015-07-29,9641,818,1,1,0,1
83,3,2015-07-29,3922,323,1,1,0,1
84,3,2015-07-29,15367,1511,1,1,0,1
85,3,2015-07-29,7719,889,1,1,0,1
86,3,2015-07-29,5021,580,1,1,0,1
87,3,2015-07-29,6078,785,1,1,0,1
88,3,2015-07-29,5605,560,1,1,0,1
89,3,2015-07-29,6658,634,1,1,0,0
90,3,2015-07-29,8107,904,1,1,0,1
91,3,2015-07-29,5813,511,1,1,0,0
92,3,2015-07-29,6917,587,1,1,0,1
93,3,2015-07-29,5952,562,1,1,0,1
94,3,2015-07-29,7718,616,1,1,0,1
95,3,2015-07-29,7776,773,1,1,0,1
96,3,2015-07-29,7216,673,1,1,0,1
97,3,2015-07-29,7446,635,1,1,0,1
98,3,2015-07-29,5431,384,1,1,0,1
99,3,2015-07-29,7123,530,1,1,0,0
1,2,2015-07-28,5011,560,1,1,0,1
2,2,2015-07-28,5671,646,1,1,0,1
3,2,2015-07-28,8864,818,1,1,0,1
4,2,2015-07-28,10275,1191,1,1,0,1
5,2,2015-07-28,6083,598,1,1,0,1
6,2,2015-07-28,4839,576,1,1,0,1
7,2,2015-07-28,12342,1158,1,1,0,1
8,2,2015-07-28,6717,695,1,1,0,1
9,2,2015-07-28,8751,678,1,1,0,1
10,2,2015-07-28,6140,593,1,1,0,1
11,2,2015-07-28,6938,938,1,1,0,1
12,2,2015-07-28,8822,861,1,1,0,1
13,2,2015-07-28,6819,446,1,1,0,0
14,2,2015-07-28,5957,628,1,1,0,1
15,2,2015-07-28,7516,646,1,1,0,1
16,2,2015-07-28,9695,1013,1,1,0,0
17,2,2015-07-28,9316,983,1,1,0,1
18,2,2015-07-28,7704,724,1,1,0,1
19,2,2015-07-28,7717,633,1,1,0,1
20,2,2015-07-28,10884,1048,1,1,0,0
21,2,2015-07-28,7948,575,1,1,0,0
22,2,2015-07-28,5761,525,1,1,0,0
23,2,2015-07-28,5923,484,1,1,0,1
24,2,2015-07-28,11129,876,1,1,0,1
25,2,2015-07-28,10865,1363,1,1,0,1
26,2,2015-07-28,7926,547,1,1,0,1
27,2,2015-07-28,10956,1075,1,1,0,1
28,2,2015-07-28,6001,598,1,1,0,1
29,2,2015-07-28,8450,697,1,1,0,1
30,2,2015-07-28,4925,670,1,1,0,1
31,2,2015-07-28,5736,492,1,1,0,1
32,2,2015-07-28,5679,586,1,1,0,0
33,2,2015-07-28,8268,732,1,1,0,1
34,2,2015-07-28,9169,989,1,1,0,1
35,2,2015-07-28,10877,711,1,1,0,1
36,2,2015-07-28,10846,1166,1,1,0,0
37,2,2015-07-28,7976,756,1,1,0,1
38,2,2015-07-28,6650,552,1,1,0,1
39,2,2015-07-28,6145,660,1,1,0,1
40,2,2015-07-28,5387,673,1,1,0,1
41,2,2015-07-28,5600,411,1,1,0,0
42,2,2015-07-28,10896,1082,1,1,0,1
43,2,2015-07-28,7180,613,1,1,0,1
44,2,2015-07-28,6130,632,1,1,0,1
45,2,2015-07-28,5504,365,1,1,0,1
46,2,2015-07-28,6385,714,1,1,0,0
47,2,2015-07-28,8066,862,1,1,0,1
48,2,2015-07-28,3598,351,1,1,0,1
49,2,2015-07-28,9694,614,1,1,0,0
50,2,2015-07-28,5115,390,1,1,0,1
51,2,2015-07-28,7847,464,1,1,0,0
52,2,2015-07-28,7787,450,1,1,0,0
53,2,2015-07-28,6162,604,1,1,0,1
54,2,2015-07-28,8992,718,1,1,0,1
55,2,2015-07-28,6252,678,1,1,0,1
56,2,2015-07-28,8400,537,1,1,0,1
57,2,2015-07-28,11248,957,1,1,0,1
58,2,2015-07-28,8489,613,1,1,0,0
59,2,2015-07-28,6699,596,1,1,0,1
60,2,2015-07-28,12230,907,1,1,0,1
61,2,2015-07-28,6397,641,1,1,0,0
62,2,2015-07-28,7593,802,1,1,0,1
63,2,2015-07-28,7707,625,1,1,0,1
64,2,2015-07-28,12596,827,1,1,0,1
65,2,2015-07-28,6670,522,1,1,0,1
66,2,2015-07-28,6927,535,1,1,0,0
67,2,2015-07-28,11285,996,1,1,0,0
68,2,2015-07-28,8195,1120,1,1,0,1
69,2,2015-07-28,10843,1309,1,1,0,1
70,2,2015-07-28,8317,708,1,1,0,1
71,2,2015-07-28,11661,780,1,1,0,1
72,2,2015-07-28,6659,552,1,1,0,0
73,2,2015-07-28,5460,509,1,1,0,1
74,2,2015-07-28,6983,858,1,1,0,1
75,2,2015-07-28,6292,629,1,1,0,1
76,2,2015-07-28,10676,961,1,1,0,0
77,2,2015-07-28,9524,668,1,1,0,1
78,2,2015-07-28,4887,536,1,1,0,1
79,2,2015-07-28,7794,762,1,1,0,0
80,2,2015-07-28,9331,594,1,1,0,1
81,2,2015-07-28,8959,614,1,1,0,0
82,2,2015-07-28,10612,875,1,1,0,1
83,2,2015-07-28,3771,326,1,1,0,1
84,2,2015-07-28,14892,1383,1,1,0,1
85,2,2015-07-28,7533,920,1,1,0,1
86,2,2015-07-28,5083,609,1,1,0,1
87,2,2015-07-28,6964,770,1,1,0,1
88,2,2015-07-28,7308,705,1,1,0,1
89,2,2015-07-28,7313,702,1,1,0,0
90,2,2015-07-28,9857,1080,1,1,0,1
91,2,2015-07-28,6485,571,1,1,0,0
92,2,2015-07-28,7760,583,1,1,0,1
93,2,2015-07-28,6274,552,1,1,0,1
94,2,2015-07-28,8929,701,1,1,0,1
95,2,2015-07-28,9107,922,1,1,0,1
96,2,2015-07-28,8434,729,1,1,0,1
97,2,2015-07-28,8359,733,1,1,0,1
98,2,2015-07-28,5197,403,1,1,0,1
99,2,2015-07-28,6387,506,1,1,0,0
1,1,2015-07-27,6102,612,1,1,0,1
2,1,2015-07-27,6627,638,1,1,0,1
3,1,2015-07-27,8107,768,1,1,0,1
4,1,2015-07-27,11812,1379,1,1,0,1
5,1,2015-07-27,7059,650,1,1,0,1
6,1,2015-07-27,5723,582,1,1,0,1
7,1,2015-07-27,14869,1340,1,1,0,1
8,1,2015-07-27,8739,841,1,1,0,1
9,1,2015-07-27,10649,777,1,1,0,1
10,1,2015-07-27,7212,662,1,1,0,1
11,1,2015-07-27,8796,1070,1,1,0,1
12,1,2015-07-27,10227,979,1,1,0,1
13,1,2015-07-27,7926,527,1,1,0,0
14,1,2015-07-27,6614,727,1,1,0,1
15,1,2015-07-27,9053,753,1,1,0,1
16,1,2015-07-27,10260,1038,1,1,0,0
17,1,2015-07-27,8293,904,1,1,0,1
18,1,2015-07-27,10055,888,1,1,0,1
19,1,2015-07-27,8825,732,1,1,0,1
20,1,2015-07-27,11255,1183,1,1,0,0
21,1,2015-07-27,9657,634,1,1,0,0
22,1,2015-07-27,7114,621,1,1,0,0
23,1,2015-07-27,8488,615,1,1,0,1
24,1,2015-07-27,13096,973,1,1,0,1
25,1,2015-07-27,11806,1536,1,1,0,1
26,1,2015-07-27,11328,780,1,1,0,1
27,1,2015-07-27,12322,1116,1,1,0,1
28,1,2015-07-27,7392,666,1,1,0,1
29,1,2015-07-27,11659,889,1,1,0,1
30,1,2015-07-27,5235,677,1,1,0,1
31,1,2015-07-27,8054,684,1,1,0,1
32,1,2015-07-27,5947,585,1,1,0,0
33,1,2015-07-27,9866,901,1,1,0,1
34,1,2015-07-27,10274,1085,1,1,0,1
35,1,2015-07-27,13740,828,1,1,0,1
36,1,2015-07-27,12582,1247,1,1,0,0
37,1,2015-07-27,9573,882,1,1,0,1
38,1,2015-07-27,8759,708,1,1,0,1
39,1,2015-07-27,7084,748,1,1,0,1
40,1,2015-07-27,5282,643,1,1,0,1
41,1,2015-07-27,7295,538,1,1,0,0
42,1,2015-07-27,12420,1155,1,1,0,1
43,1,2015-07-27,8816,710,1,1,0,1
44,1,2015-07-27,8206,771,1,1,0,1
45,1,2015-07-27,7450,500,1,1,0,1
46,1,2015-07-27,10068,896,1,1,0,0
47,1,2015-07-27,8633,973,1,1,0,1
48,1,2015-07-27,4405,408,1,1,0,1
49,1,2015-07-27,10561,675,1,1,0,0
50,1,2015-07-27,6684,464,1,1,0,1
51,1,2015-07-27,8672,563,1,1,0,0
52,1,2015-07-27,9118,508,1,1,0,0
53,1,2015-07-27,6853,621,1,1,0,1
54,1,2015-07-27,11237,849,1,1,0,1
55,1,2015-07-27,6017,670,1,1,0,1
56,1,2015-07-27,9960,632,1,1,0,1
57,1,2015-07-27,14080,1178,1,1,0,1
58,1,2015-07-27,10750,660,1,1,0,0
59,1,2015-07-27,7519,645,1,1,0,1
60,1,2015-07-27,14030,969,1,1,0,1
61,1,2015-07-27,7911,737,1,1,0,0
62,1,2015-07-27,8619,846,1,1,0,1
63,1,2015-07-27,10881,835,1,1,0,1
64,1,2015-07-27,15285,913,1,1,0,1
65,1,2015-07-27,7436,564,1,1,0,1
66,1,2015-07-27,8775,635,1,1,0,0
67,1,2015-07-27,13569,1096,1,1,0,0
68,1,2015-07-27,9701,1220,1,1,0,1
69,1,2015-07-27,11636,1285,1,1,0,1
70,1,2015-07-27,10017,841,1,1,0,1
71,1,2015-07-27,12920,844,1,1,0,1
72,1,2015-07-27,7992,668,1,1,0,0
73,1,2015-07-27,5895,532,1,1,0,1
74,1,2015-07-27,7765,934,1,1,0,1
75,1,2015-07-27,7346,754,1,1,0,1
76,1,2015-07-27,12778,1119,1,1,0,0
77,1,2015-07-27,10852,759,1,1,0,1
78,1,2015-07-27,5450,578,1,1,0,1
79,1,2015-07-27,9450,775,1,1,0,0
80,1,2015-07-27,10419,707,1,1,0,1
81,1,2015-07-27,9627,662,1,1,0,0
82,1,2015-07-27,12101,988,1,1,0,1
83,1,2015-07-27,5237,409,1,1,0,1
84,1,2015-07-27,16104,1412,1,1,0,1
85,1,2015-07-27,7788,956,1,1,0,1
86,1,2015-07-27,5524,610,1,1,0,1
87,1,2015-07-27,8403,941,1,1,0,1
88,1,2015-07-27,9340,753,1,1,0,1
89,1,2015-07-27,8335,794,1,1,0,0
90,1,2015-07-27,10556,1083,1,1,0,1
91,1,2015-07-27,7706,643,1,1,0,0
92,1,2015-07-27,9528,705,1,1,0,1
93,1,2015-07-27,8356,699,1,1,0,1
94,1,2015-07-27,11168,780,1,1,0,1
95,1,2015-07-27,11134,1035,1,1,0,1
96,1,2015-07-27,8731,714,1,1,0,1
97,1,2015-07-27,10538,865,1,1,0,1
98,1,2015-07-27,7409,550,1,1,0,1
99,1,2015-07-27,8213,614,1,1,0,0
1,7,2015-07-26,0,0,0,0,0,0
2,7,2015-07-26,0,0,0,0,0,0
3,7,2015-07-26,0,0,0,0,0,0
4,7,2015-07-26,0,0,0,0,0,0
5,7,2015-07-26,0,0,0,0,0,0
6,7,2015-07-26,0,0,0,0,0,0
7,7,2015-07-26,0,0,0,0,0,0
8,7,2015-07-26,0,0,0,0,0,0
9,7,2015-07-26,0,0,0,0,0,0
10,7,2015-07-26,0,0,0,0,0,1
11,7,2015-07-26,0,0,0,0,0,0
12,7,2015-07-26,0,0,0,0,0,0
13,7,2015-07-26,0,0,0,0,0,0
14,7,2015-07-26,0,0,0,0,0,0
15,7,2015-07-26,0,0,0,0,0,0
16,7,2015-07-26,0,0,0,0,0,0
17,7,2015-07-26,0,0,0,0,0,0
18,7,2015-07-26,0,0,0,0,0,0
19,7,2015-07-26,0,0,0,0,0,0
20,7,2015-07-26,0,0,0,0,0,0
21,7,2015-07-26,0,0,0,0,0,0
22,7,2015-07-26,0,0,0,0,0,0
23,7,2015-07-26,0,0,0,0,0,0
24,7,2015-07-26,0,0,0,0,0,0
25,7,2015-07-26,0,0,0,0,0,0
26,7,2015-07-26,0,0,0,0,0,0
27,7,2015-07-26,0,0,0,0,0,0
28,7,2015-07-26,0,0,0,0,0,0
29,7,2015-07-26,0,0,0,0,0,0
30,7,2015-07-26,0,0,0,0,0,0
31,7,2015-07-26,0,0,0,0,0,0
32,7,2015-07-26,0,0,0,0,0,0
33,7,2015-07-26,0,0,0,0,0,0
34,7,2015-07-26,0,0,0,0,0,0
35,7,2015-07-26,0,0,0,0,0,0
36,7,2015-07-26,0,0,0,0,0,0
37,7,2015-07-26,0,0,0,0,0,0
38,7,2015-07-26,0,0,0,0,0,0
39,7,2015-07-26,0,0,0,0,0,0
40,7,2015-07-26,0,0,0,0,0,0
41,7,2015-07-26,0,0,0,0,0,0
42,7,2015-07-26,0,0,0,0,0,0
43,7,2015-07-26,0,0,0,0,0,0
44,7,2015-07-26,0,0,0,0,0,0
45,7,2015-07-26,0,0,0,0,0,0
46,7,2015-07-26,0,0,0,0,0,0
47,7,2015-07-26,0,0,0,0,0,0
48,7,2015-07-26,0,0,0,0,0,0
49,7,2015-07-26,0,0,0,0,0,0
50,7,2015-07-26,0,0,0,0,0,0
51,7,2015-07-26,0,0,0,0,0,0
52,7,2015-07-26,0,0,0,0,0,0
53,7,2015-07-26,0,0,0,0,0,0
54,7,2015-07-26,0,0,0,0,0,0
55,7,2015-07-26,0,0,0,0,0,0
56,7,2015-07-26,0,0,0,0,0,0
57,7,2015-07-26,0,0,0,0,0,0
58,7,2015-07-26,0,0,0,0,0,0
59,7,2015-07-26,0,0,0,0,0,0
60,7,2015-07-26,0,0,0,0,0,0
61,7,2015-07-26,0,0,0,0,0,0
62,7,2015-07-26,0,0,0,0,0,0
63,7,2015-07-26,0,0,0,0,0,0
64,7,2015-07-26,0,0,0,0,0,0
65,7,2015-07-26,0,0,0,0,0,0
66,7,2015-07-26,0,0,0,0,0,0
67,7,2015-07-26,0,0,0,0,0,0
68,7,2015-07-26,0,0,0,0,0,0
69,7,2015-07-26,0,0,0,0,0,0
70,7,2015-07-26,0,0,0,0,0,1
71,7,2015-07-26,0,0,0,0,0,0
72,7,2015-07-26,0,0,0,0,0,0
73,7,2015-07-26,0,0,0,0,0,0
74,7,2015-07-26,0,0,0,0,0,0
75,7,2015-07-26,0,0,0,0,0,0
76,7,2015-07-26,0,0,0,0,0,0
77,7,2015-07-26,0,0,0,0,0,0
78,7,2015-07-26,0,0,0,0,0,0
79,7,2015-07-26,0,0,0,0,0,0
80,7,2015-07-26,0,0,0,0,0,0
81,7,2015-07-26,0,0,0,0,0,0
82,7,2015-07-26,0,0,0,0,0,0
83,7,2015-07-26,0,0,0,0,0,0
84,7,2015-07-26,0,0,0,0,0,0
85,7,2015-07-26,11421,1606,1,0,0,0
