Downloaded from: https://gender-pay-gap.service.gov.uk/,,,,,,,,,,,,,,,,,,,,,,,,
Correct as of: 9th February 2020,,,,,,,,,,,,,,,,,,,,,,,,
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted
ABERLOUR CHILD CARE TRUST,"Kintail House,
Forthside Way,
Stirling,
Stirlingshire,
Scotland,
FK8 1QZ",SC312912,96090,8.9,-0.8,nan,,0,0,13.6,86.4,22.9,77.1,16.8,83.2,19.5,80.5,https://www.aberlour.org.uk/publication/gender-pay-gap-report-2019/,SallyAnn Kelly (Chief Executive),250 to 499,ABERLOUR CHILD CARE TRUST,FALSE,05/04/2020 00:00,29/01/2020 10:51
ACCELERATED EDUCATION TUITION LIMITED,"V3, Vector Park,
Forest Road,
Feltham,
England,
TW13 7EJ",6857560,85200,-27,0,nan,,0,0,48.9,51.1,31.9,68.1,47.3,52.7,38.9,61.1,,Mark Bezant (Finance Manager),250 to 499,ACCELERATED EDUCATION TUITION LIMITED,FALSE,05/04/2020 00:00,30/01/2020 16:23
Acorns Children's Hospice Trust,"Drakes Court, Alcester Road,
Wythall,
Birmingham,
B47 6JR",2036103,88910,8.7,4.2,nan,,0,0,10.8,89.2,12.8,87.2,15.5,84.5,10.9,89.1,https://www.acorns.org.uk/wp-content/uploads/2019/11/Acorns-Gender-Pay-Gap-Report-2019-3.pdf,Janet Thomas (Director of HR),250 to 499,ACORNS CHILDREN'S HOSPICE TRUST,FALSE,05/04/2020 00:00,26/11/2019 15:19
AD Astra Academy Trust,"Hub Two, The Innovation Centre Venture Court,
Queens Meadow Business Park,
Hartlepool,
England,
TS25 5TG",9308398,"1,
85200",13.2,36.7,nan,,0,0,3.2,96.8,11.7,88.3,10.6,89.4,12,88,http://www.adastraacademytrust.com/wp-content/uploads/2019/12/AA-Gender-Pay-Gap-Report-2019-13.12.19.pdf,None,250 to 499,AD ASTRA ACADEMY TRUST,FALSE,31/03/2020 00:00,18/12/2019 15:51
ADARE INTERNATIONAL LIMITED,"Lilly House,
Priestley Road,
Basingstoke,
England,
RG24 9LZ",1610897,18129,18,3.3,70.1,54.7,16.4,11,44.3,55.7,51.3,48.7,50.6,49.4,56.4,43.6,https://www.adareinternational.net/genderPayGap,Andrew Dutton (CEO),500 to 999,ADARE INTERNATIONAL LIMITED,FALSE,05/04/2020 00:00,16/10/2019 18:46
ADM MILLING LIMITED,"Adm International Limited,
Church Manorway,
Erith Kent,
DA8 1DL",2445197,10611,9.1,11.1,74.1,39.6,5.4,1.5,72,28,90,10,88,12,83,17,https://www.4flour.co.uk/adm-values/,Louise MacKay (UK HR Manager),250 to 499,ADM MILLING LIMITED,FALSE,05/04/2020 00:00,27/01/2020 15:49
"Advisory, Conciliation and Arbitration Service","Euston Tower,
London,
London,
United Kingdom,
NW1 3JJ",,"1,
84110",7.4,0,6,17.5,88,85,19.7,80.3,52.1,47.9,44.4,55.6,51.5,48.5,,None,500 to 999,"Advisory, Conciliation and Arbitration Service",FALSE,31/03/2020 00:00,18/11/2019 17:37
AESSEAL PLC,"Global Technology Centre,
Bradmarsh Business Park,
Mill Close Rotherham,
South Yorkshire,
S60 1BZ",2101607,32990,25.5,24.9,58.7,0,86.6,81.4,75,25,69,31,88,12,89,11,http://www.aesseal.co.uk/en/resources/industry-guides/gender-pay-gap,Donna Cannon (HR Manager),250 to 499,AESSEAL PLC,FALSE,05/04/2020 00:00,24/01/2020 16:56
AGA PRINT LTD.,"9 Stock Road,
Southend On Sea,
Essex,
SS2 5QF",4717223,18129,8,13,-332,-100,10,16,69,31,82,18,90,10,93,7,,Simon Cooper (Managing Director),250 to 499,AGA PRINT LTD.,FALSE,05/04/2020 00:00,06/02/2020 14:49
Age Concern Essex,"Widford Hall Widford Hall Lane,
Off Tattersall Way,
Chelmsford,
Essex,
England,
CM2 8TD",4309519,88100,19,13,nan,,0,0,7,93,0,100,0,100,9,91,,Michelle Bennett (Deputy Chief Executive),Less than 250,AGE CONCERN ESSEX,FALSE,05/04/2020 00:00,05/12/2019 10:16
AGGREKO UK LIMITED,"Overburn Avenue,
Dumbarton,
Dunbartonshire,
G82 2RL",SC051093,77390,15.7,21,18.5,15.8,94,88,60,40,77.7,22.3,78.8,21.2,80.8,19.2,https://www.plc.aggreko.com/responsibility/gender-pay-gap,Anna Filipopoulos (Group Human Resources Director),500 to 999,AGGREKO UK LIMITED,FALSE,05/04/2020 00:00,16/12/2019 10:32
AIRPORT COORDINATION LIMITED,"Viewpoint,
240 London Road,
Staines-Upon-Thames,
Middlesex,
England,
TW18 4JT",2603583,52230,18,26,21,26,100,100,38,62,78,22,75,25,78,22,https://www.acl-uk.org/wp-content/uploads/2020/01/Gender-pay-gap-October-2019-005.pdf,Jo Clarke (Finance Director),Less than 250,AIRPORT COORDINATION LIMITED,FALSE,05/04/2020 00:00,23/01/2020 11:55
Aldermore Bank PLC,"1st Floor, Block B,
Western House Lynch Wood,
Peterborough,
PE2 6FZ",947662,64191,28.8,35.4,48.1,34.5,74,76,38,62,50,50,62,38,74,26,https://www.aldermore.co.uk/media/4787/aldermore-gender-pay-gap-report-december-2019.pdf,Rob Divall (Group HR Director),1000 to 4999,ALDERMORE BANK PLC,FALSE,05/04/2020 00:00,18/12/2019 09:27
ALDWYCK HOUSING GROUP LIMITED,"Unit 6,
Houghton Hall Business Park,
Porz Avenue,
Dunstable,
Bedfordshire,
United Kingdom,
LU5 5UZ",IP21083R,,16,10.1,26.1,0,30.4,35.9,24.3,75.7,48.2,51.8,44.1,55.9,55.9,44.1,https://www.chg.org.uk/wp-content/uploads/2020/02/Aldwyck-Gender-Pay-Gap-Report-2019-final.pdf,Alison Henderson (Director of People),250 to 499,ALDWYCK HOUSING GROUP LIMITED,FALSE,05/04/2020 00:00,07/02/2020 15:39
ALLEN & OVERY (SSF) LIMITED,"One Bishops Square,
London,
E1 6AD",7462843,82990,11.7,16.8,42.5,10.9,66,74.2,38,62,39,61,55,45,55,45,http://www.allenovery.com/corporate-responsibility/diversity-inclusion/Pages/uk-pay-gap-report.aspx,Sasha Hardman (Global HR Director),500 to 999,ALLEN & OVERY (SSF) LIMITED,FALSE,05/04/2020 00:00,30/09/2019 15:14
ALLEN & OVERY SERVICE COMPANY LIMITED,"One,
Bishops Square,
London,
E1 6AD",2158783,74990,17.1,31.8,40.3,44.6,60.7,68.9,24,76,37,63,46,54,48,52,http://www.allenovery.com/corporate-responsibility/diversity-inclusion/Pages/uk-pay-gap-report.aspx,Sasha Hardman (Global HR Director),1000 to 4999,ALLEN & OVERY SERVICE COMPANY LIMITED,FALSE,05/04/2020 00:00,30/09/2019 15:19
ALLIANCE IN PARTNERSHIP LIMITED,"8-9 Borough Court,
Grammar School Lane,
Halesowen,
West Midlands,
B63 3SW",3577003,56290,23.6,13,nan,,0,0,0,100,0,100,9.7,90.3,12.8,87.2,,Angela Austin (Financial Director),1000 to 4999,ALLIANCE IN PARTNERSHIP LIMITED,FALSE,05/04/2020 00:00,28/01/2020 13:11
ALPHABET (GB) LIMITED,"Alphabet House,
Summit Avenue,
Farnborough,
Hampshire,
GU14 0FB",3282075,"64910,
64921",15.9,6.5,49.9,10.4,91,90,45,55,44,56,51,49,60,40,https://www.alphabet.com/en-gb/gender-pay-gap-report,Nick Brownrigg (Chief Executive Officer),250 to 499,ALPHABET (GB) LIMITED,FALSE,05/04/2020 00:00,22/01/2020 15:12
ALTHEA UK AND IRELAND LIMITED,"Unit 4 Ely Road,
Theale,
Reading,
England,
RG7 4BQ",4328629,74909,25,23,6,15,34,47,46,54,60,40,83,17,77,23,https://www.althea-group.com/uk/,Angela Larkcom (Head of Human Resources),250 to 499,ALTHEA UK AND IRELAND LIMITED,FALSE,05/04/2020 00:00,23/12/2019 16:05
ALTODIGITAL MANAGED SERVICES LTD,"93 Vantage Point,
Kingswinford,
West Midlands,
England,
DY6 7FR",6380200,74909,24.8,16,51.2,35.5,58.8,41.9,38,62,69.3,30.7,81.2,18.8,81,19,,Darrell Polden (Group Technical and Operations Director),250 to 499,ALTODIGITAL MANAGED SERVICES LTD,FALSE,05/04/2020 00:00,25/07/2019 12:59
ALTRO LIMITED,"Works Road,
Letchworth Garden City,
Hertfordshire,
SG6 1NW",154159,"20590,
22230",15.6,3.3,71,15.5,91.3,91,68,32,61,39,60,40,71,29,https://www.altro.com/getmedia/2f9da1a6-dd78-4166-82da-763c08fb2d04/Altro-Gender-Pay-Submission-2019.pdf.aspx,Richard Kahn (CEO Floors/Walls & MD Altro Group),500 to 999,ALTRO LIMITED,FALSE,05/04/2020 00:00,25/10/2019 12:12
Amber Valley Borough Council,"Town Hall,
Market Place,
Ripley,
Derbyshire,
United Kingdom,
DE5 3BT",,"1,
84110",5.1,-15.6,nan,,0,0,62.9,37.1,32.3,67.7,30.7,69.3,57,43,https://www.ambervalley.gov.uk/council/strategies.../equality-and-diversity/,None,250 to 499,Amber Valley Borough Council,FALSE,31/03/2020 00:00,22/01/2020 12:15
AMSRIC FOODS LIMITED,"21 - 25 Church Street West 21- 25 Church Street West,
Woking,
Surrey,
England,
GU21 6DJ",2770878,56103,25,6,39,20,23,25,60,40,58,42,59,41,68,32,https://www.amsric.co.uk/,Carly Hughes (Payroll Manager),1000 to 4999,AMSRIC FOODS LIMITED,FALSE,05/04/2020 00:00,28/06/2019 12:12
AMSRIC LIMITED,"21- 25 Church Street West,
Woking,
Surrey,
England,
GU21 6DJ",8576967,56102,23,5,46,-47,39,47,28,72,28,72,28,72,40,60,https://www.amsric.co.uk/,Carly Hughes (Payroll Manager),250 to 499,AMSRIC LIMITED,FALSE,05/04/2020 00:00,28/06/2019 12:23
AMVALE MEDICAL TRANSPORT LIMITED,"Unit 1 C/D South Park Industrial Estate,
Birkdale Road,
Scunthorpe,
North Lincolnshire,
DN17 2AU",4502825,82990,4.7,3.9,nan,,0,0,44.2,55.8,46.2,53.8,47.1,52.9,72.9,27.1,,MICHAEL GODFREY (CEO),250 to 499,AMVALE MEDICAL TRANSPORT LIMITED,FALSE,05/04/2020 00:00,25/06/2019 09:10
ANGLIAN WATER SERVICES LIMITED,"Lancaster House Lancaster Way,
Ermine Business Park,
Huntingdon,
Cambridgeshire,
United Kingdom,
PE29 6XU",2366656,"36000,
37000,
70100",5.9,11,22,-1.5,98,98,57,43,72,28,83,17,70,30,https://www.anglianwater.co.uk/siteassets/household/about-us/gender-pay-gap-report-2019.pdf,Susannah Clements (Group Director of People),"5000 to 19,999",ANGLIAN WATER SERVICES LIMITED,FALSE,05/04/2020 00:00,12/12/2019 15:36
ANGUS ALIVE,"Angus House,
Orchardbank Business Park,
Forfar,
Angus,
DD8 1AN",SC499155,"90040,
91011,
91020,
93110",-11.2,-4.3,nan,,0,0,46.1,53.9,24.7,75.3,30.3,69.7,22.5,77.5,https://angusalive-www.legendonlineservices.co.uk/about-us/reports-policies/,Kirsty Hunter (Chief Executive),500 to 999,ANGUS ALIVE,FALSE,05/04/2020 00:00,15/11/2019 14:10
ANSCHUTZ SPORTS HOLDINGS LTD.,"The O2,
Peninsula Square,
London,
SE10 0DX",3469870,"70100,
90020,
90040",34.5,39,50.8,15.6,36,24,41,59,31,69,59,41,66,34,,"Alex Hill (President, AEG Europe)",250 to 499,ANSCHUTZ SPORTS HOLDINGS LTD.,FALSE,05/04/2020 00:00,06/12/2019 13:37
Apollo partnership trust,"Castle Rock High School,
Meadow Lane,
Coalville,
Leicestershire,
LE67 4BR",8114513,1,25.7,46.6,nan,,0,0,1.6,98.4,4.8,95.2,39.3,60.7,18,82,http://www.apollopartnershiptrust.uk/governance/,None,Less than 250,APOLLO PARTNERSHIP TRUST,FALSE,31/03/2020 00:00,31/07/2019 20:31
ARDENT HIRE SOLUTIONS LIMITED,"Ardent House,
32 Crown Road,
Enfield,
Middlesex,
England,
EN1 1TH",3987596,77320,21.9,4.7,72.5,78.4,57,55,72,28,90,10,87,13,82,18,https://www.ardenthire.com/file/pay-gap-report-18-19.pdf,Jeremy Fish (CEO),250 to 499,ARDENT HIRE SOLUTIONS LIMITED,FALSE,05/04/2020 00:00,15/08/2019 11:35
ARENA EVENT SERVICES GROUP LIMITED,"Needingworth Industrial Estate,
Needingworth Road,
St. Ives,
England,
PE27 4NB",4069053,93199,12.3,0.9,41.9,5.1,10.9,3.5,84.8,15.2,82.3,17.7,76.3,23.7,91.1,8.9,,Chris Morris (CEO UK & Europe),250 to 499,ARENA EVENT SERVICES GROUP LIMITED,FALSE,05/04/2020 00:00,09/12/2019 11:48
ARETÉ LEARNING TRUST,"Stokesley School,
Station Road,
Stokesley,
North Yorkshire,
TS9 5AL",9471240,"1,
85200,
85310",16,35.7,nan,,0,0,18.1,81.9,32.9,67.1,25,75,45.8,54.2,,Helen Wiseman (Financial Controller),250 to 499,ARETÉ LEARNING TRUST,FALSE,31/03/2020 00:00,19/08/2019 15:36
Ark Schools,"The Yellow Building,
1 Nicholas Road,
London,
England,
W11 4AN",5112090,"1,
85100,
85200,
85310",13,20,24,50,3,3,19,81,26,74,31,69,34,66,http://arkonline.org/sites/default/files/Gender_pay_gap_report_2018.pdf,None,1000 to 4999,ARK SCHOOLS,FALSE,31/03/2020 00:00,02/04/2019 12:46
ARNOLD CLARK AUTOMOBILES LIMITED,"454 Hillington Road,
Glasgow,
Scotland,
G52 4FH",SC036386,"45111,
45112,
45200",13.5,8.7,64.3,34.1,90,89.4,81.9,18.1,64.9,35.1,74.2,25.8,86.8,13.2,https://www.arnoldclark.com/gender-pay-gap-report,Carol Henry (Group People Director),"5000 to 19,999",ARNOLD CLARK AUTOMOBILES LIMITED,FALSE,05/04/2020 00:00,31/12/2019 15:44
ARNOLD CLARK FINANCE LIMITED.,"454 Hillington Road,
Glasgow,
Scotland,
G52 4FH",SC039597,77110,-6.2,-12.6,-0.9,12.2,91.1,88.9,72.2,27.8,74.7,25.3,50.5,49.5,52.6,47.4,https://www.arnoldclark.com/gender-pay-gap-report,Carol Henry (Group People Director),500 to 999,ARNOLD CLARK FINANCE LIMITED.,FALSE,05/04/2020 00:00,31/12/2019 15:42
ARRK EUROPE LIMITED,"Caldwell Road,
Nuneaton,
Warwickshire,
CV11 4NG",3418673,32990,2.3,11.4,18.7,6.6,52,41,86.1,13.9,83.6,16.4,89,11,87.7,12.3,https://www.arrkeurope.com/fileadmin/user_upload/Company/arrk-companys/arrk-europe-limited/ARRK_Europe_Ltd._Gender_Pay_Report_April_2019.pdf,Simon Holmes (Finance Director),250 to 499,ARRK EUROPE LIMITED,FALSE,05/04/2020 00:00,03/06/2019 11:06
Arun District Council,"Arun Civic Centre,
Maltravers Road,
Littlehampton,
West Sussex,
United Kingdom,
BN17 5LF",,"1,
84110",18.1,9.9,nan,,0,0,28,72,35,65,30,70,53,47,,None,250 to 499,Arun District Council,FALSE,31/03/2020 00:00,21/01/2020 16:33
ASDA STORES LIMITED,"Asda House,
South Bank,
Great Wilson Street,
Leeds,
LS11 5AD",464777,47190,11.1,6.5,49.5,17.6,85.3,88.3,26,74,39.1,60.9,45.1,54.9,64.7,35.3,,Hayley Tatum (Chief People Officer),"20,000 or more",ASDA STORES LIMITED,FALSE,05/04/2020 00:00,13/01/2020 10:01
Ashford Borough Council,"Civic Centre,
Tannery Lane,
Ashford,
Kent,
United Kingdom,
TN23 1PL",,"1,
84110",13.5,22.4,-337.5,-350,13,1,41.9,58.1,23.1,76.9,38.5,61.5,59.8,40.2,https://www.ashford.gov.uk/transparency/our-staff/salaries/gender-pay-gap-statistics-march-2019/,None,250 to 499,Ashford Borough Council,FALSE,31/03/2020 00:00,02/01/2020 12:23
Asset Education,"St Helen's School,
Woodbridge Road,
Ipswich,
Suffolk,
United Kingdom,
IP4 2LT",9434926,"1,
85200",15.4,36.1,nan,,0,0,10.6,89.4,5.7,94.3,18.7,81.3,13.9,86.1,http://www.asseteducation.co.uk/,None,250 to 499,ASSET EDUCATION,FALSE,31/03/2020 00:00,06/11/2019 10:24
ASSOCIATED WASTE MANAGEMENT LIMITED,"St Bernard's Mill Gelderd Road,
Gildersome, Morley,
Leeds,
West Yorkshire,
LS27 7NA",4092555,"38110,
38210",17.6,14,nan,,0,0,92.3,7.7,96.9,3.1,80,20,84.6,15.4,,Colette Bloom (Finance Director),250 to 499,ASSOCIATED WASTE MANAGEMENT LIMITED,FALSE,05/04/2020 00:00,24/05/2019 16:11
Autism Initiatives (UK),"Sefton House,
Bridle Road,
Bootle,
Merseyside,
England,
L30 4XR",2436777,"85200,
85310,
87300,
88990",-2.6,0,nan,,0,0,45.7,54.3,34.7,65.3,37.1,62.9,38.8,61.2,https://www.autisminitiatives.org/,Andrew Grainger (Chief Executive),1000 to 4999,AUTISM INITIATIVES (UK),FALSE,05/04/2020 00:00,20/11/2019 08:36
Autism Together,"Wirral Centre For Autism Oak House (Unit C),
6 Tebay Road Bromborough,
Wirral,
Merseyside,
CH62 3PA",2658268,87200,-2,0,nan,,0,0,51,49,45,55,46,54,42,58,https://www.autismtogether.co.uk/,Jim Strain (HR Director),500 to 999,AUTISM TOGETHER,FALSE,05/04/2020 00:00,08/11/2019 10:45
Autism.West Midlands,"Imperial Court 10 Sovereign Road,
Kings Norton Business Centre, Kings Norton,
Birmingham,
England,
B30 3ES",1953344,"87200,
88100",8,0,nan,,0,0,24,76,34,66,30,70,24,76,https://www.autismwestmidlands.org.uk/,Philip Middlewood (Chief Executive),250 to 499,AUTISM.WEST MIDLANDS,FALSE,05/04/2020 00:00,17/12/2019 13:47
AVANTE CARE AND SUPPORT LIMITED,"De Gelsey House,
1 Jubilee Way,
Faversham,
Kent,
ME13 8GD",2565021,"87300,
88100,
88990",22.2,9,4.8,88,5.5,2.8,8,92,4,96,8,92,15,85,https://avantecare.org.uk/join-us/avante-gender-pay-gap-report/,Deborah Pert (Finance Director & Deputy Managing Director),1000 to 4999,AVANTE CARE AND SUPPORT LIMITED,FALSE,05/04/2020 00:00,10/12/2019 16:47
AVIVA EMPLOYMENT SERVICES LIMITED,"St  Helen's,
1 Undershaft,
London,
EC3P 3DQ",3280551,96090,26.7,27.3,51.4,39,95.2,94.9,42,58,44,56,56,44,68,32,https://www.aviva.com/about-us/uk-gender-pay-gap-report/,Caroline Prendergast (Interim Chief People Officer),"5000 to 19,999",AVIVA EMPLOYMENT SERVICES LIMITED,FALSE,05/04/2020 00:00,31/01/2020 16:30
AWP ASSISTANCE UK LTD,"60 Gracechurch Street,
London,
England,
EC3P 3DS,
74005",1710361,"66190,
66220",24.1,10.6,58.5,56,90.4,88.4,50,50,67,33,73,27,67,33,,Maureen Stapley (HR Director),500 to 999,AWP ASSISTANCE UK LTD,FALSE,05/04/2020 00:00,14/01/2020 16:30
AXA ASSISTANCE (U.K.) LIMITED,"The Quadrangle,
106-118 Station Road,
Redhill,
Surrey,
RH1 1PR",2638890,"66190,
66220",12.3,2.1,28.2,0.8,96.4,97.4,49.1,50.9,46.2,53.8,44.3,55.7,57.5,42.5,,"Nicola Bignell (Head of HR, UK)",250 to 499,AXA ASSISTANCE (U.K.) LIMITED,FALSE,05/04/2020 00:00,02/12/2019 16:09
AXA GLOBAL HEALTHCARE (UK) LIMITED,"5 Old Broad Street,
London,
EC2N 1AD",3039521,"65120,
82990",18.2,3.4,38.3,17.5,92,92,41,59,39,61,37,63,53,47,,Charlotte Roux (Chief Financial Officer),250 to 499,AXA GLOBAL HEALTHCARE (UK) LIMITED,FALSE,05/04/2020 00:00,06/02/2020 13:26
AXA ICAS LIMITED,"5 Old Broad Street,
London,
EC2N 1AD",2548573,66290,8.5,3.2,5.2,5.8,88.2,90.5,25.9,74.1,36.9,63.1,33.3,66.7,31.8,68.2,,Glen Parkinson (Managing Director),250 to 499,AXA ICAS LIMITED,FALSE,05/04/2020 00:00,07/02/2020 09:54
AXA INVESTMENT MANAGERS LIMITED,"7 Newgate Street,
London,
EC1A 7NX",3886111,66190,28,24.9,70.6,63.7,87,84,50,50,52,48,64,36,79,21,https://www.axa-im.com/empowering-female-talent?linkid=diversity-ctabanner-empoweringfemaletalent,Gerald Harlin (Executive Chairman),250 to 499,AXA INVESTMENT MANAGERS LIMITED,FALSE,05/04/2020 00:00,07/02/2020 09:36
AXA PPP HEALTHCARE GROUP LIMITED,"5 Old Broad Street,
London,
EC2N 1AD",3148346,64205,16.3,7.3,40.2,18.1,94.2,95.6,36.1,63.9,33.8,66.2,31.7,68.3,50.5,49.5,,Tracy Garrad (Chief Executive Officer),1000 to 4999,AXA PPP HEALTHCARE GROUP LIMITED,FALSE,05/04/2020 00:00,07/02/2020 09:53
AXA SERVICES LIMITED,"5 Old Broad Street,
London,
EC2N 1AD",446043,82990,25,24.6,45.6,29.6,92.5,94.5,36.6,63.4,38.3,61.7,46.5,53.5,64.1,35.9,,Amelie Breitburd (Chief Financial Officer),1000 to 4999,AXA SERVICES LIMITED,FALSE,05/04/2020 00:00,07/02/2020 09:56
AXA UK PLC,"5 Old Broad Street,
London,
EC2N 1AD",2937724,70100,17,17.4,34.7,30.7,91.6,92,37.4,62.6,51,49,59.1,40.9,66.5,33.5,,Amelie Breitburd (Chief Financial Officer),500 to 999,AXA UK PLC,FALSE,05/04/2020 00:00,07/02/2020 09:58
B&CE HOLDINGS LIMITED,"Manor Royal,
Crawley,
West Sussex,
RH10 9QP",377361,64999,31.4,35.7,66,54,26,21,25.9,74.1,32.3,67.7,40.6,59.4,63.4,36.6,https://bandce.co.uk/about-us/how-we-work/financial-reports/,Zoe Wright (Group Director of People),500 to 999,B&CE HOLDINGS LIMITED,FALSE,05/04/2020 00:00,13/12/2019 12:33
Babergh,"Corks Lane,
Hadleigh,
Ipswich,
IP7 6SJ",,1,19.1,24.2,-2,0,1.7,2.2,18.5,81.5,40.7,59.3,38.9,61.1,61.1,38.9,,None,Less than 250,Babergh District Council,FALSE,31/03/2020 00:00,20/12/2019 12:16
"BANCO SANTANDER, S.A., LONDON BRANCH","2 Triton Square,
London,
Regents Place,
NW1 3AN",BR001085,,34.2,40.3,57.1,70.5,93.3,86.9,58.1,41.9,73.3,26.7,87.2,12.8,89.5,10.5,https://www.santander.com/content/dam/santander-com/es/contenido-paginas/landing-pages/london-branch/Gender_Pay_Gap_Report_Santander_London_Branch_Dec_2019.pdf,"Darren Jones (Branch Manager, Santander London Branch)",250 to 499,"BANCO SANTANDER, S.A., LONDON BRANCH",FALSE,05/04/2020 00:00,18/12/2019 11:02
